"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","g_hora","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_2","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","estado_pil"
"4142",4142,20,2,3,22,4,1,102,2,99,9,999,12,9,1,99,9999,5,47,9
"4143",4143,20,2,3,21,4,1,108,2,10,9,999,12,9,99,99,9999,5,99,9
"4144",4144,21,2,4,10,2,1,101,1,1,2,19,2,1,4,1,9999,5,24,9
"4145",4145,21,2,4,6,2,1,101,1,10,9,999,12,9,7,99,9999,5,99,9
"4146",4146,21,2,4,6,2,1,101,1,7,1,62,11,1,1,3,2000,5,34,1
"4147",4147,21,2,4,7,2,13,1301,2,4,2,34,5,1,2,3,2006,5,34,1
"4148",4148,21,2,4,16,3,16,1601,2,99,9,999,12,9,99,99,9999,5,99,9
"4149",4149,21,2,4,15,3,2,203,2,99,1,26,4,1,1,2,2002,5,21,1
"4150",4150,21,2,4,3,1,17,1701,2,99,9,999,12,9,99,99,9999,5,99,9
"4151",4151,21,2,4,12,3,4,401,2,99,9,999,12,9,99,99,9999,5,99,9
"4152",4152,21,2,4,9,2,1,117,2,99,1,21,3,1,4,1,2011,5,2,1
"4153",4153,21,2,4,13,3,1,114,1,99,1,18,2,1,4,14,9999,5,99,9
"4154",4154,21,2,4,22,4,9,909,2,99,9,999,12,9,99,99,9999,5,99,9
"4155",4155,22,2,5,10,2,1,101,1,5,1,30,5,1,1,6,1994,5,44,9
"4156",4156,22,2,5,21,4,1,115,2,99,9,999,12,9,99,99,9999,5,99,9
"4157",4157,22,2,5,22,4,1,101,1,1,1,37,6,1,1,1,1984,5,37,1
"4158",4158,22,2,5,19,4,19,1901,1,99,9,999,12,9,99,99,9999,5,99,9
"4159",4159,22,2,5,20,4,19,1901,2,99,9,999,12,9,99,99,9999,5,99,9
"4160",4160,22,2,5,18,4,8,802,2,99,1,26,4,1,3,3,1994,5,44,1
"4161",4161,22,2,5,18,4,16,1616,2,99,1,40,7,1,5,2,2009,5,23,9
"4162",4162,22,2,5,13,3,15,1507,2,99,1,38,6,1,5,2,2012,5,30,9
"4163",4163,22,2,5,12,3,2,201,2,99,1,27,4,1,6,3,9999,5,47,9
