"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad","edad_m1","condicion_pil","tipo_vehi","color_vehi","causa_acc"
"142",142,18,1,3,10,17,1701,1,99,9,999,11,9,9,4,7,1
"143",143,18,1,3,16,17,1708,1,99,9,999,11,9,9,14,1,4
"144",144,18,1,3,19,17,1705,2,99,9,999,11,9,9,5,99,1
"145",145,18,1,3,6,14,1409,2,99,1,19,2,1,9,5,1,3
"146",146,19,1,4,20,1,101,1,1,1,30,5,1,2,1,99,1
"147",147,19,1,4,3,1,101,1,18,1,22,3,1,9,1,5,2
"148",148,19,1,4,23,1,101,1,18,2,29,4,1,1,1,5,1
"149",149,19,1,4,16,1,101,1,6,1,999,11,1,1,4,3,1
"150",150,19,1,4,0,1,101,1,7,2,41,7,1,9,1,5,3
"151",151,19,1,4,17,6,601,2,99,1,63,10,1,9,3,9,1
"152",152,19,1,4,22,2,205,2,99,1,44,7,1,9,14,1,2
"153",153,19,1,4,18,18,1801,1,99,9,999,11,9,9,3,99,1
"154",154,20,1,5,18,1,108,1,4,1,38,6,1,1,12,1,1
"155",155,20,1,5,18,5,501,1,1,1,35,6,1,1,3,3,1
"156",156,20,1,5,10,5,507,1,99,1,24,3,1,1,14,1,1
"157",157,20,1,5,14,6,608,2,99,1,43,7,1,1,4,5,1
"158",158,20,1,5,14,10,1008,1,99,1,31,5,1,1,9,6,1
"159",159,20,1,5,22,13,1301,1,1,1,56,10,1,1,1,2,1
"160",160,20,1,5,11,16,1601,1,2,1,25,4,1,1,2,2,1
"161",161,20,1,5,17,14,1401,2,99,1,46,8,1,1,3,3,4
"162",162,20,1,5,14,4,406,1,2,1,46,8,1,2,3,11,1
"163",163,21,1,6,21,1,101,1,1,1,29,4,1,1,12,1,1
"164",164,21,1,6,7,1,101,1,9,2,36,6,1,1,1,2,1
"165",165,21,1,6,20,1,101,1,1,1,25,4,1,1,4,3,1
"166",166,21,1,6,18,1,101,1,1,1,32,5,1,1,4,5,2
"167",167,21,1,6,22,1,101,1,6,1,31,5,1,1,1,9,1
"168",168,21,1,6,15,1,101,1,5,2,27,4,1,1,3,6,1
"169",169,21,1,6,2,1,101,1,7,1,26,4,1,2,4,99,1
"170",170,21,1,6,2,1,101,1,11,1,25,4,1,9,3,2,1
"171",171,21,1,6,13,1,101,1,11,1,999,11,1,9,4,5,1
"172",172,21,1,6,15,1,101,1,12,1,41,7,1,1,9,11,1
"173",173,21,1,6,22,1,108,1,1,1,47,8,1,1,3,4,1
"174",174,21,1,6,23,5,501,1,1,1,23,3,1,2,4,1,1
"175",175,21,1,6,19,13,1303,2,99,1,19,2,1,2,1,4,1
"176",176,21,1,6,21,18,1801,1,99,1,40,7,1,9,4,99,1
"177",177,21,1,6,19,4,409,2,99,9,999,11,9,9,7,6,2
"178",178,21,1,6,18,3,304,2,99,1,45,8,1,1,2,4,1
"179",179,22,1,7,18,1,115,1,99,9,999,11,9,9,3,1,3
"180",180,22,1,7,4,5,505,2,99,1,21,3,1,2,1,4,2
"181",181,22,1,7,11,6,601,2,99,1,21,3,1,1,3,3,2
