"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","g_hora","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_2","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","g_edad","Fallecidos_Lesionados","Otro_g_edad_fall_les"
"6901",6901,19,3,2,1,1,17,1701,2,0,1,999,9,1,4,1,4,5,21,11,1,8
"6902",6902,19,3,2,1,1,17,1701,2,0,1,999,9,1,4,1,4,5,21,11,2,8
"6903",6903,20,3,3,11,2,1,101,1,5,1,54,7,1,4,3,6,5,2,9,2,5
"6904",6904,20,3,3,0,1,1,114,2,0,1,60,8,1,99,99,6,5,99,10,1,6
"6905",6905,20,3,3,6,2,20,2007,2,0,1,56,7,1,99,99,6,5,99,10,1,5
"6906",6906,20,3,3,6,2,20,2007,2,0,1,55,7,1,99,99,6,5,99,10,2,5
"6907",6907,20,3,3,17,3,5,504,2,0,1,11,4,2,2,8,6,5,37,1,1,2
"6908",6908,20,3,3,21,4,5,502,2,0,2,28,5,1,1,11,2,5,44,4,2,3
"6909",6909,20,3,3,18,4,10,1001,2,0,1,40,6,1,1,6,6,5,32,7,2,4
"6910",6910,20,3,3,20,4,9,908,2,0,1,26,5,1,99,99,6,5,99,4,1,3
"6911",6911,20,3,3,6,2,13,1301,2,0,2,68,8,1,3,5,6,5,44,10,2,6
"6912",6912,20,3,3,19,4,2,208,2,0,1,68,8,1,99,99,6,5,99,10,1,6
"6913",6913,21,3,4,20,4,1,101,1,1,1,24,4,1,4,5,5,5,21,3,2,3
"6914",6914,21,3,4,20,4,1,101,1,1,1,26,5,1,4,5,5,5,21,4,2,3
"6915",6915,21,3,4,22,4,5,504,2,0,2,28,5,1,1,11,2,5,44,4,2,3
"6916",6916,21,3,4,20,4,5,511,2,0,1,36,5,1,12,99,6,5,99,6,2,4
"6917",6917,21,3,4,19,4,10,1001,1,2,2,84,8,1,9,4,6,5,37,10,2,7
"6918",6918,21,3,4,18,4,12,1223,2,0,1,11,4,2,99,99,6,5,99,1,2,2
"6919",6919,21,3,4,23,4,18,1801,2,0,1,22,4,1,3,4,4,5,32,3,2,3
"6920",6920,21,3,4,6,2,4,406,2,0,1,68,8,1,99,99,6,5,99,10,1,6
"6921",6921,23,3,6,14,3,1,115,1,3,2,11,4,2,99,99,6,5,99,1,2,2
"6922",6922,23,3,6,19,4,10,1001,1,3,1,32,5,1,4,5,6,5,40,5,2,4
"6923",6923,23,3,6,19,4,10,1001,1,3,1,11,4,2,4,5,6,5,40,1,2,2
"6924",6924,23,3,6,19,4,10,1001,1,3,1,6,3,2,4,5,6,5,40,1,2,2
"6925",6925,23,3,6,21,4,15,1504,1,3,1,24,4,1,3,3,2,5,44,3,2,3
"6926",6926,23,3,6,21,4,15,1504,1,3,1,16,4,2,3,3,2,5,44,2,2,3
"6927",6927,23,3,6,18,4,1,101,1,11,1,10,4,2,4,5,5,5,24,1,2,2
"6928",6928,23,3,6,23,4,1,101,1,12,1,23,4,1,1,2,6,5,5,3,2,3
"6929",6929,23,3,6,16,3,1,116,1,2,1,40,6,1,2,4,6,5,44,7,1,4
"6930",6930,23,3,6,16,3,1,116,1,2,1,68,8,1,2,4,6,5,44,10,1,6
"6931",6931,23,3,6,16,3,1,116,1,2,1,61,8,1,2,4,6,5,44,10,2,6
"6932",6932,23,3,6,17,3,1,114,2,0,1,30,5,1,99,99,6,5,99,5,2,4
"6933",6933,23,3,6,21,4,1,114,2,0,1,20,4,1,1,2,2,5,37,3,2,3
"6934",6934,24,3,7,21,4,1,105,2,0,1,30,5,1,4,99,6,5,99,5,1,4
"6935",6935,24,3,7,21,4,1,105,2,0,1,32,5,1,4,99,6,5,99,5,2,4
"6936",6936,24,3,7,20,4,10,1001,2,0,1,72,8,1,4,5,6,5,31,10,2,7
"6937",6937,24,3,7,21,4,18,1801,2,0,1,12,4,2,3,2,6,5,44,1,2,2
"6938",6938,24,3,7,21,4,14,1401,2,0,1,59,7,1,2,4,6,5,99,10,2,5
"6939",6939,24,3,7,21,4,14,1401,2,0,1,33,5,1,2,4,6,5,99,5,2,4
"6940",6940,25,3,1,16,3,1,101,1,1,2,14,4,2,1,4,4,5,44,1,2,2
"6941",6941,25,3,1,17,3,1,101,1,7,1,48,6,1,12,1,6,5,99,8,1,5
"6942",6942,25,3,1,9,2,9,901,2,0,2,10,4,2,3,4,6,5,44,1,2,2
"6943",6943,25,3,1,16,3,16,1601,2,0,1,4,2,2,3,10,6,5,99,1,1,1
"6944",6944,25,3,1,16,3,15,1501,2,0,1,5,3,2,10,1,4,5,2,1,2,2
"6945",6945,25,3,1,11,2,4,401,2,0,1,39,5,1,12,2,2,5,13,6,1,4
"6946",6946,25,3,1,19,4,3,301,2,0,1,999,9,1,99,99,6,5,99,11,1,8
"6947",6947,26,3,2,23,4,1,101,1,7,1,35,5,1,99,99,6,5,99,6,1,4
"6948",6948,26,3,2,23,4,1,101,1,7,1,39,5,1,99,99,6,5,99,6,1,4
"6949",6949,26,3,2,19,4,20,2001,2,0,1,19,4,1,99,99,6,5,99,2,1,3
"6950",6950,26,3,2,15,3,20,2001,2,0,2,65,8,1,3,1,6,5,44,10,2,6
"6951",6951,26,3,2,16,3,19,1903,2,0,1,19,4,1,99,99,6,5,99,2,2,3
"6952",6952,26,3,2,20,4,9,901,2,0,1,26,5,1,4,1,6,5,37,4,1,3
"6953",6953,26,3,2,14,3,16,1601,2,0,2,80,8,1,9,3,4,5,44,10,1,7
"6954",6954,26,3,2,20,4,17,1701,2,0,1,48,6,1,99,99,6,5,99,8,1,5
"6955",6955,27,3,3,10,2,1,101,1,9,1,40,6,1,7,7,6,5,22,7,2,4
"6956",6956,27,3,3,19,4,1,105,1,6,1,7,3,2,4,3,6,5,99,1,2,2
"6957",6957,27,3,3,19,4,1,102,2,0,1,18,4,1,12,7,6,5,13,2,1,3
"6958",6958,27,3,3,15,3,1,110,1,8,2,70,8,1,1,6,4,5,21,10,2,7
"6959",6959,27,3,3,0,1,1,110,1,4,1,28,5,1,4,99,6,5,24,4,1,3
"6960",6960,27,3,3,14,3,6,601,2,0,1,54,7,1,4,5,6,5,99,9,1,5
"6961",6961,27,3,3,14,3,6,601,2,0,1,14,4,2,4,5,6,5,99,1,1,2
"6962",6962,27,3,3,15,3,10,1001,2,0,2,10,4,2,1,2,3,5,99,1,2,2
"6963",6963,27,3,3,16,3,9,901,2,0,1,999,9,1,12,2,4,5,30,11,2,8
"6964",6964,27,3,3,17,3,9,901,2,0,2,52,7,1,4,1,4,5,99,9,2,5
"6965",6965,27,3,3,17,3,9,901,2,0,2,14,4,2,4,1,4,5,99,1,2,2
"6966",6966,27,3,3,19,4,13,1301,2,0,1,75,8,1,99,99,6,5,99,10,2,7
"6967",6967,27,3,3,21,4,15,1501,2,0,1,75,8,1,99,99,6,5,99,10,1,7
"6968",6968,27,3,3,20,4,17,1701,2,0,1,21,4,1,99,99,6,5,99,3,2,3
"6969",6969,27,3,3,19,4,17,1701,2,0,1,5,3,2,14,99,6,5,99,1,2,2
"6970",6970,27,3,3,23,4,4,401,2,0,1,999,9,1,99,99,6,5,99,11,2,8
"6971",6971,28,3,4,19,4,1,101,1,12,2,27,5,1,12,99,6,5,99,4,2,3
"6972",6972,28,3,4,14,3,1,110,1,6,1,25,5,1,4,5,6,5,2,4,2,3
"6973",6973,28,3,4,11,2,5,501,2,0,2,58,7,1,4,1,5,5,24,10,2,5
"6974",6974,28,3,4,13,3,9,901,2,0,1,33,5,1,4,1,6,5,99,5,1,4
"6975",6975,28,3,4,2,1,12,1201,2,0,1,56,7,1,14,1,6,5,99,10,2,5
"6976",6976,28,3,4,14,3,12,1201,2,0,1,28,5,1,1,3,6,5,99,4,2,3
"6977",6977,28,3,4,10,2,13,1301,2,0,1,43,6,1,12,99,6,5,99,7,1,4
"6978",6978,28,3,4,10,2,15,1501,2,0,1,3,2,2,4,1,5,5,24,1,2,1
"6979",6979,28,3,4,18,4,2,201,2,0,1,33,5,1,99,99,6,5,99,5,1,4
"6980",6980,28,3,4,19,4,7,701,2,0,1,999,9,1,99,99,6,5,99,11,1,8
"6981",6981,28,3,4,10,2,4,401,2,0,1,67,8,1,99,99,6,5,99,10,2,6
"6982",6982,28,3,4,20,4,3,304,2,0,1,50,7,1,99,99,6,5,99,9,1,5
"6983",6983,29,3,5,18,4,1,101,1,9,1,85,8,1,1,2,6,5,99,10,1,7
"6984",6984,29,3,5,19,4,1,115,2,0,1,45,6,1,99,99,6,5,99,8,2,5
"6985",6985,29,3,5,20,4,1,115,2,0,2,60,8,1,99,99,6,5,99,10,2,6
"6986",6986,29,3,5,18,4,1,110,2,0,1,66,8,1,11,2,6,5,99,10,2,6
"6987",6987,29,3,5,17,3,22,2201,2,0,2,25,5,1,11,2,6,5,99,4,2,3
"6988",6988,29,3,5,17,3,22,2201,2,0,2,60,8,1,11,2,6,5,99,10,2,6
"6989",6989,29,3,5,17,3,22,2201,2,0,1,15,4,2,11,2,6,5,99,2,2,3
"6990",6990,29,3,5,17,3,22,2201,2,0,2,7,3,2,11,2,6,5,99,1,2,2
"6991",6991,29,3,5,11,2,20,2001,2,0,1,38,5,1,99,99,6,5,99,6,1,4
"6992",6992,29,3,5,21,4,5,501,2,0,2,10,4,2,4,1,5,5,36,1,2,2
"6993",6993,29,3,5,23,4,5,501,1,3,1,9,3,2,99,99,6,5,99,1,2,2
"6994",6994,29,3,5,12,3,6,601,2,0,1,55,7,1,4,3,4,5,99,10,2,5
"6995",6995,29,3,5,12,3,18,1801,2,0,1,50,7,1,99,99,6,5,99,9,1,5
"6996",6996,29,3,5,1,1,17,1701,2,0,1,35,5,1,99,99,6,5,99,6,1,4
"6997",6997,29,3,5,7,2,17,1701,2,0,1,27,5,1,1,99,6,5,99,4,2,3
"6998",6998,29,3,5,12,3,4,401,2,0,2,85,8,1,3,6,6,5,44,10,2,7
"6999",6999,30,3,6,21,4,19,1901,2,0,1,55,7,1,99,99,6,5,99,10,2,5
"7000",7000,30,3,6,9,2,5,501,2,0,1,999,9,1,99,99,6,5,99,11,1,8
"7001",7001,30,3,6,0,1,17,1701,2,0,1,27,5,1,99,99,6,5,99,4,2,3
"7002",7002,30,3,6,18,4,4,401,2,0,1,21,4,1,99,99,6,5,99,3,2,3
"7003",7003,31,3,7,18,4,22,2201,2,0,1,16,4,2,14,1,6,5,2,2,2,3
"7004",7004,31,3,7,9,2,19,1901,2,0,1,999,9,1,99,99,6,5,99,11,2,8
"7005",7005,31,3,7,12,3,5,501,2,0,1,999,9,1,99,99,6,5,99,11,1,8
"7006",7006,31,3,7,21,4,5,501,2,0,1,36,5,1,99,99,6,5,99,6,2,4
"7007",7007,31,3,7,21,4,10,1001,2,0,1,18,4,1,99,99,6,5,99,2,2,3
"7008",7008,31,3,7,18,4,11,1101,2,0,2,49,6,1,3,2,6,5,99,8,2,5
"7009",7009,31,3,7,22,4,17,1701,2,0,1,53,7,1,99,99,6,5,99,9,2,5
"7010",7010,31,3,7,19,4,17,1701,2,0,1,999,9,1,99,99,6,5,99,11,2,8
"7011",7011,31,3,7,23,4,4,401,2,0,1,48,6,1,99,99,6,5,99,8,2,5
"7012",7012,1,4,1,12,3,19,1904,2,0,1,47,6,1,99,99,6,5,99,8,2,5
"7013",7013,1,4,1,17,3,19,1904,2,0,1,5,3,2,99,99,6,5,99,1,2,2
